Tiempo,TempA,TempB
23.3,63.358,16.8927
23.4,63.3531,16.8606
23.5,63.3092,16.8725
23.6,63.3531,16.868
23.699,63.3332,16.8658
23.8,63.3403,16.8632
23.9,63.314,16.8758
24,63.3191,16.873
24.1,63.3152,16.8673
24.201,63.3174,16.8612
24.3,63.3268,16.8523
24.4,63.302,16.8722
24.5,63.3153,16.8663
24.6,63.294,16.8394
24.7,63.2848,16.8584
24.8,63.2488,16.8434
24.899,63.2692,16.8723
25,63.2628,16.8353
25.101,63.2394,16.8372
25.2,63.2583,16.8674
25.3,63.26,16.8603
25.4,63.236,16.8263
25.5,63.2665,16.8151
25.6,63.2657,16.852
25.7,63.2778,16.8182
25.801,63.2496,16.8436
25.9,63.2365,16.8405
26.001,63.2444,16.8276
26.1,63.2386,16.8203
26.2,63.2365,16.8254
26.3,63.2439,16.8061
26.4,63.2544,16.8209
26.501,63.2553,16.8202
26.6,63.2304,16.8081
26.699,63.2618,16.8184
26.8,63.2263,16.8154
26.9,63.2451,16.8075
27,63.2455,16.8025
27.101,63.1975,16.7967
27.199,63.2026,16.7823
27.301,63.1981,16.8065
27.4,63.2065,16.7963
27.499,63.2104,16.7796
27.6,63.19,16.8061
27.703,63.1847,16.7704
27.8,63.1952,16.7975
27.9,63.2244,16.7785
28,63.1713,16.8022
28.1,63.188,16.8041
28.2,63.1727,16.7881
28.3,63.1536,16.7706
28.401,63.143,16.8019
28.501,63.1641,16.7903
28.6,63.1217,16.7852
28.7,63.095,16.7732
28.8,63.0908,16.7702
28.9,63.1018,16.798
28.999,63.0861,16.793
29.1,63.0667,16.7595
29.2,63.0606,16.7753
29.3,63.0475,16.7808
29.4,63.0368,16.7564
29.5,63.009,16.7781
29.6,63.0085,16.7532
29.7,62.9966,16.7433
29.801,62.9908,16.7656
29.9,62.9734,16.7625
30.001,62.9682,16.7673
30.099,62.9556,16.766
30.2,62.9518,16.715
30.3,62.9485,16.7717
30.401,62.9285,16.7326
30.501,62.9197,16.7479
30.6,62.925,16.7385
30.7,62.9062,16.7363
30.799,62.9113,16.7343
30.9,62.9109,16.7239
31.001,62.8825,16.7758
31.1,62.882,16.7524
31.2,62.8842,16.7526
31.3,62.8747,16.7252
31.401,62.8925,16.7515
31.5,62.8662,16.7568
31.6,62.8646,16.736
31.7,62.8481,16.7265
31.801,62.8405,16.7126
31.9,62.8193,16.741
31.999,62.8358,16.7336
32.1,62.8207,16.7466
32.2,62.8363,16.728
32.3,62.8219,16.7233
32.4,62.8212,16.705
32.5,62.8032,16.7104
32.6,62.8139,16.726
32.7,62.8023,16.6852
32.8,62.7955,16.7256
32.9,62.8168,16.7028
33.002,62.7725,16.6913
33.1,62.771,16.6877
33.2,62.7792,16.6847
33.3,62.7877,16.7054
33.4,62.7871,16.7137
33.5,62.7945,16.6911
33.6,62.7915,16.6495
33.699,62.783,16.6975
33.8,62.7827,16.6785
33.901,62.7728,16.6712
34,62.7634,16.6703
34.1,62.78,16.6815
34.199,62.7206,16.6568
34.3,62.7548,16.6516
34.4,62.7336,16.6721
34.5,62.7196,16.6726
34.6,62.6964,16.6508
34.7,62.6807,16.6643
34.8,62.7053,16.6652
34.9,62.7522,16.6272
35,62.8333,16.6698
35.1,62.9149,16.6593
35.199,63.0756,16.637
35.3,63.1618,16.6343
35.401,63.255,16.6423
35.5,63.3486,16.6586
35.6,63.3955,16.6486
35.7,63.4107,16.6548
35.8,63.4596,16.6454
35.9,63.4937,16.6569
36.001,63.5012,16.6132
36.101,63.4748,16.6223
36.201,63.5288,16.6185
36.301,63.5309,16.6393
36.4,63.5036,16.6295
36.499,63.4955,16.6329
36.6,63.5048,16.5889
36.7,63.4502,16.6187
36.8,63.4606,16.613
36.9,63.4304,16.617
37,63.405,16.6159
37.1,63.3894,16.6108
37.2,63.3724,16.6011
37.3,63.397,16.5865
37.401,63.3814,16.5884
37.501,63.3543,16.5939
37.6,63.3637,16.5849
37.701,63.3581,16.6099
37.801,63.3313,16.5796
37.901,63.3328,16.5834
38,63.3411,16.5764
38.1,63.352,16.581
38.2,63.3556,16.5556
38.301,63.3773,16.5843
38.401,63.3534,16.5603
38.5,63.3863,16.5718
38.6,63.3629,16.5646
38.7,63.3815,16.5475
38.801,63.3754,16.567
38.9,63.3972,16.5653
39,63.3614,16.5777
39.1,63.3946,16.5662
39.2,63.4021,16.5621
39.301,63.4335,16.5667
39.401,63.4127,16.5645
39.5,63.4447,16.5564
39.601,63.4352,16.5579
39.701,63.4557,16.5531
39.801,63.4395,16.5584
39.901,63.4388,16.5275
40,63.4522,16.5223
40.1,63.4497,16.5438
40.201,63.4402,16.5152
40.301,63.4364,16.5372
40.4,63.4581,16.5518
40.501,63.4557,16.5235
40.601,63.3985,16.5223
40.7,63.417,16.512
40.8,63.3897,16.5161
40.901,63.386,16.5246
41,63.354,16.5278
41.101,63.3167,16.5088
41.2,63.3254,16.5283
41.3,63.3214,16.5384
41.4,63.2788,16.5153
41.501,63.2677,16.5408
41.6,63.247,16.4917
41.701,63.2248,16.4801
41.8,63.183,16.5012
41.9,63.1611,16.4962
42.001,63.1528,16.4949
42.1,63.0906,16.5061
42.2,63.0642,16.5011
42.3,63.0464,16.5058
42.401,63.0028,16.4835
42.508,62.9591,16.4976
42.604,62.9671,16.467
42.714,62.935,16.4794
42.808,62.9193,16.4862
42.9,62.9283,16.4755
43.01,62.8917,16.4778
43.109,62.8651,16.486
43.203,62.8495,16.4653
43.3,62.8451,16.4589
43.415,62.843,16.4582
43.513,62.8143,16.4535
43.602,62.7782,16.434
43.712,62.7649,16.4594
43.808,62.7611,16.4629
43.9,62.7525,16.4646
44.006,62.7514,16.4427
44.101,62.7494,16.4366
44.2,62.695,16.4139
44.312,62.6859,16.4086
44.407,62.6877,16.4333
44.51,62.6389,16.4302
44.605,62.6348,16.4351
44.699,62.6411,16.3731
44.8,62.6209,16.4015
44.896,62.6234,16.39
45.014,62.5726,16.4355
45.108,62.5415,16.3897
45.197,62.5626,16.4087
45.309,62.5352,16.3801
45.404,62.5205,16.3935
45.508,62.481,16.3873
45.604,62.5094,16.3799
45.706,62.4729,16.3969
45.8,62.4892,16.3756
45.902,62.474,16.3764
46.007,62.4485,16.3784
46.102,62.4814,16.3724
46.213,62.445,16.365
46.308,62.4141,16.3928
46.402,62.4184,16.3965
46.508,62.4207,16.3725
46.603,62.4186,16.3696
46.698,62.422,16.3604
46.793,62.3491,16.3895
46.904,62.4008,16.359
47.009,62.3763,16.3618
47.112,62.3739,16.3547
47.195,62.4026,16.376
47.305,62.348,16.342
47.415,62.3314,16.3267
47.51,62.3524,16.3173
47.605,62.3435,16.3136
47.7,62.347,16.3152
47.807,62.3548,16.3411
47.912,62.3196,16.3338
47.992,62.321,16.3393
48.103,62.3267,16.353
48.208,62.3137,16.3338
48.304,62.3199,16.3411
48.399,62.3143,16.3377
48.497,62.2939,16.3031
48.6,62.2864,16.3038
48.703,62.2797,16.3064
48.814,62.263,16.3133
48.909,62.2655,16.2966
49.003,62.2617,16.3042
49.099,62.2502,16.2888
49.198,62.2529,16.2862
49.302,62.2557,16.2672
49.408,62.2466,16.2963
49.499,62.233,16.2696
49.607,62.2036,16.2941
49.698,62.1933,16.2927
49.807,62.2182,16.2896
49.907,62.2013,16.2634
50.007,62.1809,16.2785
50.104,62.2007,16.2846
50.208,62.1823,16.2849
50.301,62.1736,16.26
50.399,62.1572,16.221
50.505,62.1793,16.2338
50.599,62.1447,16.2408
50.7,62.133,16.24
50.804,62.1513,16.2522
50.905,62.128,16.2435
51.001,62.1285,16.264
51.106,62.1253,16.2166
51.203,62.1189,16.2394
51.31,62.1352,16.2196
51.404,62.1104,16.2373
51.509,62.1039,16.2371
51.606,62.0773,16.2496
51.706,62.084,16.2242
51.804,62.0776,16.2367
51.907,62.0665,16.2382
52.007,62.0651,16.2124
52.105,62.0519,16.2184
52.203,62.0695,16.2127
52.315,62.0719,16.1923
52.401,62.0683,16.203
52.492,62.038,16.2321
52.604,62.05,16.1893
52.707,62.0337,16.207
52.806,62.0458,16.1959
52.901,62.0125,16.1579
52.999,62.0039,16.2022
53.101,62.0177,16.2198
53.201,62.0068,16.1979
53.297,62.0152,16.1897
53.403,62.0249,16.1814
53.507,62.0094,16.1761
53.604,62.0141,16.1779
53.702,61.9674,16.1792
53.808,62.0075,16.2028
53.901,61.9964,16.179
54.004,61.9948,16.1579
54.107,62.0115,16.1874
54.203,61.9969,16.1594
54.306,61.9818,16.1817
54.402,61.995,16.1591
54.502,61.9755,16.1861
54.603,61.9981,16.1657
54.699,61.9609,16.1547
54.808,61.9767,16.1718
54.89,61.9595,16.1351
55.006,61.9373,16.175
55.102,61.9594,16.1472
55.206,61.9743,16.1339
55.302,61.9389,16.1449
55.402,61.9626,16.1528
55.504,61.9535,16.1412
55.608,61.951,16.1306
55.706,61.9532,16.1244
55.803,61.9428,16.1321
55.907,61.9441,16.1435
56.002,61.9371,16.1289
56.099,61.9235,16.1395
56.204,61.9327,16.1253
56.301,61.899,16.1286
56.402,61.8789,16.1326
56.498,61.8971,16.1194
56.597,61.8767,16.0913
56.701,61.8755,16.0709
56.803,61.871,16.1078
56.9,61.8615,16.1011
57.003,61.838,16.105
57.106,61.828,16.0977
57.202,61.8224,16.098
57.302,61.8422,16.1047
57.407,61.8326,16.1004
57.501,61.8038,16.0817
57.605,61.7993,16.0898
57.702,61.7881,16.0693
57.808,61.7524,16.0758
57.9,61.7617,16.0417
58.008,61.7931,16.0811
58.103,61.7488,16.0923
58.199,61.7085,16.089
58.302,61.7371,16.0768
58.404,61.694,16.0575
58.501,61.6757,16.0561
58.599,61.7253,16.0496
58.7,61.6999,16.0466
58.807,61.7104,16.0573
58.904,61.7007,16.0404
59.002,61.6998,16.0521
59.098,61.6816,16.0553
59.207,61.6909,16.0522
59.3,61.6623,16.0317
59.399,61.6551,16.048
59.519,61.6542,16.0521
59.599,61.657,16.0342
59.698,61.6439,16.0301
59.798,61.6681,16.0299
59.908,61.6658,16.0286
60.012,61.6386,16.0126
60.107,61.6129,16.0132
60.206,61.6125,15.9875
60.308,61.6386,16.0111
60.398,61.6055,16.0035
60.505,61.6525,16.0042
60.596,61.6474,16.038
60.7,61.6257,15.9812
60.801,61.6306,15.9786
60.9,61.6471,15.9745
61.015,61.6356,15.9979
61.112,61.6466,16.0027
61.202,61.6414,15.9578
61.309,61.6472,15.9543
61.407,61.6246,15.9646
61.514,61.6242,15.9575
61.605,61.6389,15.9583
61.704,61.6154,15.9913
61.809,61.6681,15.97
61.906,61.656,15.9653
61.999,61.6127,15.9659
62.094,61.6278,15.9961
62.201,61.6075,15.9782
62.301,61.6386,15.9701
62.407,61.6445,15.951
62.506,61.6312,15.9307
62.603,61.6328,15.9639
62.703,61.6429,15.9534
62.813,61.6751,15.9553
62.907,61.6799,15.9518
63.003,61.6554,15.9459
63.103,61.6526,15.948
63.205,61.6668,15.932
63.303,61.6431,15.9393
63.402,61.6816,15.9245
63.505,61.6968,15.9429
63.598,61.6769,15.9122
63.701,61.7183,15.921
63.8,61.7073,15.9052
63.903,61.7279,15.9165
64.004,61.7491,15.9354
64.104,61.7654,15.9049
64.208,61.7763,15.8963
64.305,61.8068,15.8898
64.406,61.8006,15.8824
64.506,61.8456,15.8927
64.604,61.8325,15.866
64.711,61.8646,15.8776
64.807,61.8835,15.8769
64.904,61.8564,15.8817
65.007,61.8983,15.8661
65.105,61.8993,15.877
65.209,61.9379,15.8837
65.308,61.966,15.8748
65.406,61.9628,15.8647
65.503,61.9818,15.8652
65.609,62.0112,15.8461
65.701,62.0416,15.8502
65.8,62.0437,15.856
65.909,62.0796,15.854
66,62.0773,15.8753
66.099,62.1197,15.8579
66.201,62.1295,15.8434
66.309,62.1672,15.8712
66.405,62.1801,15.8685
66.501,62.1829,15.8509
66.6,62.1982,15.8537
66.706,62.2195,15.8418
66.808,62.2111,15.8334
66.901,62.23,15.84
66.999,62.2621,15.8361
67.103,62.2769,15.866
67.21,62.2762,15.8423
67.299,62.2739,15.8312
67.399,62.3135,15.8321
67.506,62.3234,15.8385
67.605,62.3274,15.7937
67.709,62.2858,15.8112
67.802,62.2979,15.8164
67.907,62.3069,15.8167
68.007,62.3308,15.7892
68.105,62.3367,15.8285
68.199,62.3666,15.8185
68.314,62.3259,15.8133
68.399,62.3375,15.8062
68.505,62.3321,15.8162
68.605,62.3441,15.8136
68.711,62.3578,15.8119
68.799,62.3092,15.8127
68.906,62.3304,15.7804
69.008,62.3049,15.8223
69.107,62.321,15.8077
69.215,62.3087,15.7985
69.314,62.2822,15.8111
69.4,62.2712,15.7769
69.506,62.2618,15.7955
69.604,62.2245,15.7889
69.698,62.2153,15.761
69.802,62.2075,15.7689
69.904,62.1834,15.7892
70,62.1758,15.7566
70.102,62.1356,15.7575
70.203,62.134,15.7792
70.304,62.1299,15.7663
70.41,62.1189,15.7606
70.499,62.0796,15.7716
70.604,62.0665,15.7888
70.706,62.0317,15.7691
70.805,61.9804,15.7641
70.9,62.0006,15.7241
71.012,61.9578,15.7703
71.106,61.9513,15.7715
71.216,61.961,15.746
71.305,61.8982,15.75
71.405,61.8861,15.7577
71.506,61.8822,15.749
71.613,61.8696,15.7688
71.705,61.8327,15.7445
71.812,61.8278,15.7565
71.905,61.7611,15.7504
72.006,61.7756,15.768
72.096,61.7474,15.7255
72.208,61.7626,15.727
72.3,61.7115,15.7341
72.406,61.6898,15.7121
72.501,61.6695,15.7479
72.6,61.6314,15.7625
72.705,61.5996,15.7484
72.81,61.6298,15.7273
72.902,61.5832,15.7405
73.006,61.567,15.7187
73.102,61.5509,15.7255
73.203,61.5175,15.7324
73.304,61.5137,15.7434
73.403,61.5121,15.7471
73.503,61.4837,15.7152
73.61,61.4839,15.7182
73.708,61.4751,15.7163
73.805,61.4835,15.7034
73.91,61.4537,15.6956
74.007,61.4461,15.732
74.099,61.4418,15.7125
74.205,61.4528,15.6934
74.303,61.4211,15.7206
74.414,61.4192,15.7151
74.514,61.4272,15.6883
74.612,61.4075,15.6887
74.712,61.4125,15.6757
74.799,61.406,15.6882
74.903,61.391,15.7075
75.007,61.3835,15.719
75.107,61.3816,15.6986
75.204,61.3757,15.6972
75.303,61.3757,15.7019
75.4,61.3262,15.6953
75.502,61.3533,15.6704
75.605,61.3444,15.6739
75.712,61.3372,15.6554
75.807,61.3155,15.6706
75.902,61.3173,15.6611
76.003,61.3302,15.6656
76.102,61.3302,15.675
76.203,61.3153,15.6585
76.303,61.3275,15.6614
76.412,61.2978,15.6688
76.501,61.284,15.6649
76.605,61.2967,15.6818
76.712,61.2814,15.6709
76.806,61.2885,15.6418
76.9,61.2684,15.6285
77.005,61.2753,15.6571
77.108,61.2658,15.6705
77.205,61.2686,15.6315
77.301,61.2516,15.6347
77.409,61.2499,15.655
77.501,61.228,15.6356
77.607,61.2463,15.6148
77.703,61.238,15.6285
77.804,61.2451,15.6474
77.901,61.2164,15.6417
78.005,61.2212,15.6252
78.1,61.2211,15.6337
78.208,61.2034,15.6182
78.314,61.2058,15.6306
78.404,61.203,15.6133
78.51,61.1763,15.6426
78.601,61.185,15.6286
78.7,61.1994,15.6385
78.801,61.1838,15.6163
78.899,61.1427,15.6144
78.998,61.1804,15.6115
79.105,61.2024,15.6112
79.203,61.1719,15.6136
79.303,61.169,15.6295
79.402,61.1605,15.6257
79.506,61.1334,15.6197
79.605,61.1444,15.6329
79.71,61.153,15.6077
79.806,61.1336,15.5873
79.909,61.1302,15.5835
80.001,61.1197,15.5925
80.1,61.1127,15.5994
80.2,61.0984,15.62
80.3,61.1261,15.6174
80.401,61.0802,15.5708
80.5,61.0814,15.5955
80.601,61.0935,15.5982
80.707,61.0584,15.5793
80.814,61.0574,15.6138
80.9,61.0569,15.5945
81.011,60.9945,15.5811
81.103,61.0094,15.5611
81.203,61.0151,15.5954
81.3,60.9895,15.5859
81.4,60.9681,15.5704
81.5,60.9876,15.5916
81.6,60.9757,15.5858
81.7,60.9737,15.5719
81.8,60.9743,15.5774
81.9,60.9419,15.5646
82,60.946,15.5664
82.101,60.9442,15.5598
82.2,60.8924,15.5783
82.299,60.8989,15.5826
82.4,60.8871,15.5631
82.5,60.8762,15.5324
82.601,60.8435,15.5743
82.701,60.8422,15.5323
82.8,60.8254,15.5438
82.901,60.8373,15.5623
83.001,60.8341,15.5531
83.1,60.8105,15.5364
83.201,60.801,15.5702
83.301,60.7935,15.5429
83.401,60.7667,15.5461
83.5,60.7745,15.5402
83.601,60.7574,15.545
83.701,60.7213,15.5231
83.801,60.7293,15.5464
83.901,60.7227,15.5582
84.004,60.6981,15.522
84.1,60.6976,15.5149
84.2,60.7058,15.5333
84.301,60.7283,15.4828
84.402,60.6979,15.5424
84.501,60.6682,15.5211
84.6,60.6561,15.5164
84.701,60.6487,15.5085
84.799,60.6667,15.5072
84.9,60.655,15.5099
85.001,60.6499,15.5145
85.1,60.6445,15.503
85.201,60.6419,15.5057
85.3,60.6476,15.4914
85.401,60.6226,15.494
85.5,60.6306,15.4889
85.601,60.6234,15.5154
85.7,60.6231,15.5149
85.8,60.6007,15.4918
85.901,60.5938,15.5269
86.001,60.5907,15.4499
86.101,60.5942,15.4772
86.2,60.5908,15.4943
86.3,60.6021,15.4916
86.4,60.5954,15.4895
86.499,60.6032,15.4821
86.601,60.5716,15.4588
86.701,60.5795,15.4712
86.803,60.5848,15.4769
86.901,60.5807,15.4611
87.001,60.5402,15.4511
87.101,60.5565,15.4452
87.2,60.5727,15.4634
87.302,60.5795,15.4359
87.4,60.5667,15.4645
87.5,60.5708,15.4523
87.6,60.5701,15.4413
87.699,60.5469,15.44
87.801,60.5481,15.4273
87.9,60.5301,15.4493
88,60.5322,15.4391
88.1,60.5347,15.4228
88.201,60.542,15.4062
88.299,60.5549,15.4467
88.399,60.5397,15.4079
88.5,60.5315,15.4229
88.599,60.5324,15.4395
88.699,60.5543,15.4117
88.8,60.503,15.4058
88.9,60.5194,15.437
88.999,60.4843,15.3856
89.1,60.5234,15.393
89.199,60.4807,15.4131
89.3,60.4913,15.4141
89.398,60.4894,15.4207
89.499,60.4855,15.4072
89.6,60.4864,15.3881
89.699,60.4814,15.4226
89.799,60.4977,15.409
89.899,60.4835,15.3958
90,60.4551,15.3826
90.099,60.4771,15.3994
90.199,60.4587,15.3992
90.299,60.4628,15.3958
90.4,60.4393,15.3801
90.499,60.4553,15.3384
90.599,60.4395,15.4069
90.699,60.4375,15.3761
90.8,60.4444,15.3762
90.899,60.3972,15.3813
90.999,60.3844,15.3603
91.099,60.388,15.3614
91.2,60.4277,15.3759
91.3,60.4283,15.3609
91.4,60.3964,15.3812
91.5,60.376,15.375
91.6,60.3594,15.3705
91.699,60.3693,15.3566
91.798,60.3667,15.368
91.9,60.3596,15.3713
92,60.3718,15.3607
92.1,60.3737,15.3812
92.2,60.3758,15.3222
92.3,60.3497,15.3404
92.4,60.3391,15.3743
92.5,60.3353,15.3589
92.6,60.3511,15.3442
92.699,60.2928,15.3467
92.799,60.2962,15.3404
92.899,60.3188,15.3267
93.001,60.3355,15.3293
93.1,60.3453,15.3524
93.2,60.3308,15.3421
93.302,60.3096,15.345
93.399,60.306,15.2972
93.5,60.2978,15.3189
93.6,60.2917,15.3211
93.699,60.2687,15.34
93.8,60.2938,15.3198
93.899,60.312,15.3292
94,60.2819,15.3419
94.1,60.2736,15.3113
94.2,60.2675,15.3025
94.3,60.2644,15.2947
94.4,60.2544,15.2937
94.5,60.2601,15.3178
94.6,60.2142,15.3325
94.699,60.2414,15.2855
94.8,60.2483,15.2819
94.9,60.2394,15.3138
95,60.2384,15.2912
95.1,60.2347,15.2856
95.199,60.2355,15.2688
95.3,60.2654,15.2876
95.4,60.2495,15.2887
95.5,60.2454,15.2733
95.6,60.2851,15.2909
95.7,60.2388,15.2695
95.799,60.277,15.305
95.9,60.2553,15.2993
96,60.2661,15.2662
96.1,60.2652,15.296
96.2,60.2673,15.2633
96.299,60.3137,15.2573
96.4,60.2897,15.2703
96.5,60.2981,15.2758
96.599,60.3082,15.2486
96.699,60.3077,15.2837
