t,tempA_mod,tempB_mod
2101.19,26.3218,3.29295
2112.13,26.2068,3.2686
2123.08,26.0924,3.24447
2134.02,25.9784,3.22055
2144.97,25.8649,3.19683
2155.91,25.7519,3.17333
2166.85,25.6395,3.15002
2177.8,25.5275,3.12692
2188.74,25.416,3.10402
2199.68,25.305,3.08133
2210.63,25.1944,3.05883
2221.57,25.0844,3.03652
2232.51,24.9748,3.01441
2243.46,24.8657,2.99249
2254.4,24.7571,2.97077
2265.35,24.649,2.94923
2276.29,24.5413,2.92788
2287.23,24.4341,2.90672
2298.18,24.3274,2.88574
2309.12,24.2211,2.86494
2320.06,24.1153,2.84433
2331.01,24.01,2.82389
2341.95,23.9051,2.80364
2352.9,23.8007,2.78356
2363.84,23.6968,2.76365
2374.78,23.5933,2.74392
2385.73,23.4902,2.72436
2396.67,23.3876,2.70497
2407.61,23.2854,2.68575
2418.56,23.1837,2.6667
2429.5,23.0825,2.64781
2440.45,22.9816,2.62909
2451.39,22.8813,2.61053
2462.33,22.7813,2.59213
2473.28,22.6818,2.5739
2484.22,22.5827,2.55582
2495.16,22.4841,2.5379
2506.11,22.3859,2.52014
2517.05,22.2881,2.50253
2527.99,22.1908,2.48507
2538.94,22.0938,2.46777
2549.88,21.9973,2.45061
2560.83,21.9012,2.43361
2571.77,21.8056,2.41676
2582.71,21.7103,2.40005
2593.66,21.6155,2.38349
2604.6,21.5211,2.36707
2615.54,21.4271,2.35079
2626.49,21.3335,2.33466
2637.43,21.2403,2.31867
2648.38,21.1475,2.30282
2659.32,21.0552,2.2871
2670.26,20.9632,2.27152
2681.21,20.8716,2.25608
2692.15,20.7805,2.24077
2703.09,20.6897,2.2256
2714.04,20.5993,2.21056
2724.98,20.5094,2.19565
2735.93,20.4198,2.18087
2746.87,20.3306,2.16622
2757.81,20.2418,2.15169
2768.76,20.1534,2.13729
2779.7,20.0653,2.12302
2790.64,19.9777,2.10888
2801.59,19.8904,2.09485
2812.53,19.8036,2.08095
2823.47,19.7171,2.06717
2834.42,19.6309,2.05351
2845.36,19.5452,2.03997
2856.31,19.4598,2.02654
2867.25,19.3748,2.01324
2878.19,19.2902,2.00005
2889.14,19.2059,1.98697
2900.08,19.122,1.97401
2911.02,19.0385,1.96116
2921.97,18.9554,1.94842
2932.91,18.8726,1.9358
2943.86,18.7901,1.92328
2954.8,18.7081,1.91088
2965.74,18.6263,1.89858
2976.69,18.545,1.88639
2987.63,18.464,1.8743
2998.57,18.3833,1.86232
3009.52,18.303,1.85045
3020.46,18.2231,1.83868
3031.4,18.1435,1.82701
3042.35,18.0642,1.81544
3053.29,17.9853,1.80397
3064.24,17.9068,1.79261
3075.18,17.8286,1.78134
3086.12,17.7507,1.77017
3097.07,17.6732,1.7591
3108.01,17.596,1.74812
3118.95,17.5191,1.73724
3129.9,17.4426,1.72646
3140.84,17.3664,1.71577
3151.79,17.2905,1.70517
3162.73,17.215,1.69467
3173.67,17.1398,1.68425
3184.62,17.065,1.67393
3195.56,16.9904,1.6637
3206.5,16.9162,1.65355
3217.45,16.8423,1.6435
3228.39,16.7688,1.63353
3239.34,16.6955,1.62365
3250.28,16.6226,1.61386
3261.22,16.55,1.60415
3272.17,16.4777,1.59452
3283.11,16.4057,1.58498
3294.05,16.3341,1.57552
3305,16.2627,1.56615
3315.94,16.1917,1.55685
3326.88,16.121,1.54764
3337.83,16.0505,1.53851
3348.77,15.9804,1.52946
3359.72,15.9106,1.52048
3370.66,15.8411,1.51159
3381.6,15.7719,1.50277
3392.55,15.7031,1.49403
3403.49,15.6345,1.48537
3414.43,15.5662,1.47678
3425.38,15.4982,1.46826
3436.32,15.4305,1.45982
3447.27,15.3631,1.45146
3458.21,15.296,1.44316
3469.15,15.2292,1.43494
3480.1,15.1627,1.42679
3491.04,15.0964,1.41871
3501.98,15.0305,1.4107
3512.93,14.9648,1.40277
3523.87,14.8995,1.3949
3534.82,14.8344,1.3871
3545.76,14.7696,1.37936
3556.7,14.7051,1.3717
3567.65,14.6408,1.3641
3578.59,14.5769,1.35657
3589.53,14.5132,1.3491
3600.48,14.4498,1.3417
3611.42,14.3867,1.33436
3622.36,14.3239,1.32709
3633.31,14.2613,1.31988
3644.25,14.199,1.31273
3655.2,14.137,1.30565
3666.14,14.0753,1.29863
3677.08,14.0138,1.29167
3688.03,13.9526,1.28476
3698.97,13.8916,1.27792
3709.91,13.8309,1.27114
3720.86,13.7705,1.26442
3731.8,13.7104,1.25776
3742.75,13.6505,1.25115
3753.69,13.5909,1.24461
3764.63,13.5315,1.23811
3775.58,13.4724,1.23168
3786.52,13.4136,1.2253
3797.46,13.355,1.21898
3808.41,13.2966,1.21271
3819.35,13.2386,1.2065
3830.3,13.1807,1.20034
3841.24,13.1232,1.19424
3852.18,13.0658,1.18819
3863.13,13.0088,1.18219
3874.07,12.9519,1.17624
3885.01,12.8954,1.17035
3895.96,12.839,1.1645
3906.9,12.783,1.15871
3917.84,12.7271,1.15297
3928.79,12.6715,1.14728
3939.73,12.6162,1.14164
3950.68,12.5611,1.13604
3961.62,12.5062,1.1305
3972.56,12.4516,1.125
3983.51,12.3972,1.11955
3994.45,12.3431,1.11415
4005.39,12.2891,1.1088
4016.34,12.2355,1.10349
4027.28,12.182,1.09823
4038.23,12.1288,1.09302
4049.17,12.0758,1.08785
4060.11,12.0231,1.08272
4071.06,11.9706,1.07765
4082,11.9183,1.07261
4092.94,11.8662,1.06762
4103.89,11.8144,1.06267
4114.83,11.7628,1.05777
4125.77,11.7114,1.0529
4136.72,11.6603,1.04809
4147.66,11.6093,1.04331
4158.61,11.5586,1.03857
4169.55,11.5081,1.03388
4180.49,11.4579,1.02922
4191.44,11.4078,1.02461
4202.38,11.358,1.02004
4213.32,11.3084,1.0155
4224.27,11.259,1.01101
4235.21,11.2098,1.00656
4246.16,11.1608,1.00214
4257.1,11.1121,0.997764
4268.04,11.0636,0.993425
4278.99,11.0152,0.989124
4289.93,10.9671,0.98486
4300.87,10.9192,0.980634
4311.82,10.8715,0.976444
4322.76,10.824,0.972291
4333.71,10.7768,0.968175
4344.65,10.7297,0.964094
4355.59,10.6828,0.960048
4366.54,10.6362,0.956038
4377.48,10.5897,0.952063
4388.42,10.5434,0.948122
4399.37,10.4974,0.944216
4410.31,10.4515,0.940344
4421.25,10.4059,0.936506
4432.2,10.3604,0.932701
4443.14,10.3152,0.928929
4454.09,10.2701,0.92519
4465.03,10.2253,0.921484
4475.97,10.1806,0.91781
4486.92,10.1361,0.914168
4497.86,10.0919,0.910558
4508.8,10.0478,0.906979
4519.75,10.0039,0.903432
4530.69,9.9602,0.899915
4541.64,9.91669,0.896429
4552.58,9.87338,0.892973
4563.52,9.83025,0.889548
4574.47,9.78732,0.886152
