t,tempA_mod,tempB_mod
10265.2,1.00481,0.50407
10276.1,1.00042,0.504035
10287.1,0.99605,0.503999
10298,0.9917,0.503965
10309,0.987368,0.50393
10319.9,0.983055,0.503896
10330.9,0.978762,0.503862
10341.8,0.974486,0.503828
10352.7,0.97023,0.503795
10363.7,0.965992,0.503762
10374.6,0.961773,0.503729
10385.6,0.957572,0.503696
10396.5,0.953389,0.503664
10407.5,0.949225,0.503632
10418.4,0.945079,0.503601
10429.3,0.940951,0.503569
10440.3,0.936841,0.503538
10451.2,0.932749,0.503507
10462.2,0.928674,0.503477
10473.1,0.924618,0.503446
10484.1,0.920579,0.503416
10495,0.916558,0.503387
10506,0.912555,0.503357
10516.9,0.908569,0.503328
10527.8,0.9046,0.503299
10538.8,0.900649,0.50327
10549.7,0.896715,0.503241
10560.7,0.892799,0.503213
10571.6,0.888899,0.503185
10582.6,0.885016,0.503157
10593.5,0.881151,0.50313
10604.4,0.877302,0.503103
10615.4,0.87347,0.503076
10626.3,0.869655,0.503049
10637.3,0.865856,0.503022
10648.2,0.862074,0.502996
10659.2,0.858309,0.50297
10670.1,0.85456,0.502944
10681.1,0.850827,0.502918
10692,0.847111,0.502893
10702.9,0.84341,0.502868
10713.9,0.839726,0.502843
10724.8,0.836059,0.502818
10735.8,0.832407,0.502793
10746.7,0.828771,0.502769
10757.7,0.825151,0.502745
10768.6,0.821547,0.502721
10779.5,0.817958,0.502697
10790.5,0.814386,0.502674
10801.4,0.810828,0.50265
10812.4,0.807287,0.502627
10823.3,0.803761,0.502604
10834.3,0.80025,0.502582
10845.2,0.796754,0.502559
10856.2,0.793274,0.502537
10867.1,0.789809,0.502515
10878,0.786359,0.502493
10889,0.782925,0.502471
10899.9,0.779505,0.502449
10910.9,0.7761,0.502428
10921.8,0.77271,0.502407
10932.8,0.769335,0.502386
